,alias,auctionEndTime,baseCcy,category,contTdSwTime,ctMult,ctType,ctVal,ctValCcy,expTime,futureSettlement,instFamily,instId,instIdCode,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtAmt,maxLmtSz,maxMktAmt,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,openType,optType,quoteCcy,ruleType,settleCcy,state,stk,tickSz,tradeQuoteCcyList,uly
72,,,,1,,1,linear,1,CELO,,False,CELO-USDT,CELO-USDT-SWAP,42683,SWAP,20,1632477785202,1,100000000.0000000000000000,20000000,100000000,,50000,50000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],CELO-USDT
73,,,,1,,1,linear,10,CETUS,,False,CETUS-USDT,CETUS-USDT-SWAP,121206,SWAP,20,1683716471697,1,100000000.0000000000000000,20000000,100000000,,30000,30000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],CETUS-USDT
74,,,,1,,1,linear,10,CFX,,False,CFX-USDT,CFX-USDT-SWAP,16650,SWAP,20,1615539600000,1,100000000.0000000000000000,20000000,100000000,,120000,120000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],CFX-USDT
75,,,,1,,1,linear,10,CHZ,,False,CHZ-USDT,CHZ-USDT-SWAP,16651,SWAP,50,1615539600000,1,100000000.0000000000000000,20000000,100000000,,70000,70000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],CHZ-USDT
76,,,,1,,1,linear,0.1,COMP,,False,COMP-USDT,COMP-USDT-SWAP,10498,SWAP,20,1587463971000,1,100000000.0000000000000000,20000000,100000000,,14000,14000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.01,[],COMP-USDT
77,,,,1,,1,linear,10,COOKIE,,False,COOKIE-USDT,COOKIE-USDT-SWAP,194547,SWAP,20,1737718200560,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],COOKIE-USDT
78,,,,1,,1,linear,1,CORE,,False,CORE-USDT,CORE-USDT-SWAP,114601,SWAP,20,1675864514708,1,100000000.0000000000000000,20000000,100000000,,40000,40000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],CORE-USDT
79,,,,1,,1,linear,10,CRO,,False,CRO-USDT,CRO-USDT-SWAP,18476,SWAP,20,1617872400000,1,100000000.0000000000000000,20000000,100000000,,30000,30000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],CRO-USDT
80,,,,1,,1,linear,1,CRV,,False,CRV-USDT,CRV-USDT-SWAP,10500,SWAP,50,1599214371000,1,100000000.0000000000000000,20000000,100000000,,150000,150000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],CRV-USDT
81,,,,1,,1,linear,10,CTC,,False,CTC-USDT,CTC-USDT-SWAP,141067,SWAP,20,1702540523695,1,100000000.0000000000000000,20000000,100000000,,3000,3000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],CTC-USDT
